Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scotland,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,*,*,4.4,*,*,0.6,*,*,5.0,*,*,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,-,0.2,0.2,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,-,1.1,1.1,-,0.1,0.1,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,-,0.6,0.6,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,*,*,2.5,*,*,0.3,*,*,2.9,*,*,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,*,*,2.9,*,*,0.7,*,*,3.5,*,*,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,*,*,1.6,*,*,0.3,*,*,1.9,*,*,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,-,5.8,5.8,-,0.2,0.2,-,6.0,6.0,-,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,-,4.2,4.2,-,0.2,0.2,-,4.4,4.4,-,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,-,4.2,4.2,-,0.2,0.2,-,4.4,4.4,-,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
