Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,161,-,1.2,1.2,-,0.2,0.2,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,162,-,7.0,7.0,-,0.9,0.9,-,7.9,7.9,-,8.3,8.3,,,,,,,,,,,,,
17,,*,*,7.7,*,*,0.4,*,*,8.1,*,*,8.1,,,,,,,,,,,,,
,171,-,1.7,1.7,-,0.1,0.1,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,172,*,*,6.0,*,*,0.3,*,*,6.2,*,*,6.2,,,,,,,,,,,,,
18,,*,*,7.2,*,*,0.7,-,7.9,8.0,-,8.5,8.5,,,,,,,,,,,,,
,181,*,*,7.2,*,*,0.7,-,7.9,7.9,-,8.4,8.4,,,,,,,,,,,,,
,182,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
19,,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,1.6,1.6,-,-,-,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
20,,-,19.7,19.7,-,1.2,1.2,-,20.9,20.9,-,20.9,20.9,,,,,,,,,,,,,
,201,-,8.4,8.4,-,0.5,0.5,-,8.8,8.8,-,8.8,8.8,,,,,,,,,,,,,
,202,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,203,-,2.8,2.8,-,0.2,0.2,-,3.0,3.0,-,3.0,3.0,,,,,,,,,,,,,
,204,-,4.6,4.6,-,0.2,0.2,-,4.8,4.8,-,4.8,4.8,,,,,,,,,,,,,
,205,-,3.7,3.7,-,0.3,0.3,-,3.9,3.9,-,3.9,3.9,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,6.3,*,*,0.5,*,*,6.9,*,*,6.9,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
22,,*,*,19.6,*,*,1.1,*,*,20.7,*,*,20.8,,,,,,,,,,,,,
,221,-,3.6,3.6,-,0.2,0.2,-,3.8,3.8,-,3.8,3.8,,,,,,,,,,,,,
,222,*,*,16.0,*,*,0.9,*,*,16.9,*,*,17.0,,,,,,,,,,,,,
23,,-,8.0,8.0,-,0.3,0.3,-,8.3,8.3,-,8.3,8.3,,,,,,,,,,,,,
,231,-,3.8,3.8,-,0.1,0.1,-,3.9,3.9,-,3.9,3.9,,,,,,,,,,,,,
,232,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,233,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,234,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,236,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.6,1.6,,,,,,,,,,,,,
,237,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,239,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
24,,*,*,13.2,*,*,0.6,*,*,13.8,*,*,13.8,,,,,,,,,,,,,
,241,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,242,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,243,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,244,*,*,11.8,*,*,0.5,*,*,12.4,*,*,12.4,,,,,,,,,,,,,
,245,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
25,,*,*,29.3,*,*,1.4,*,*,30.7,*,*,31.9,,,,,,,,,,,,,
,251,-,7.4,7.4,-,0.5,0.5,-,7.9,7.9,-,8.2,8.2,,,,,,,,,,,,,
,252,*,*,1.2,*,*,-,*,*,1.2,*,*,1.3,,,,,,,,,,,,,
,253,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.2,0.2,,,,,,,,,,,,,
,254,-,1.3,1.3,-,-,-,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
,255,-,1.4,1.4,-,0.1,0.1,-,1.4,1.4,-,1.5,1.5,,,,,,,,,,,,,
,256,-,11.5,11.5,-,0.6,0.6,-,12.0,12.0,-,12.6,12.6,,,,,,,,,,,,,
,257,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.4,1.4,,,,,,,,,,,,,
,259,-,5.1,5.1,-,0.2,0.2,-,5.4,5.4,-,5.5,5.5,,,,,,,,,,,,,
26,,-,7.6,7.6,-,1.6,1.6,-,9.2,9.2,-,9.2,9.2,,,,,,,,,,,,,
,261,-,1.9,1.9,-,0.2,0.2,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,
,262,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,263,-,1.6,1.6,-,0.3,0.3,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,264,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,265,-,3.2,3.2,-,0.7,0.7,-,3.9,3.9,-,3.9,3.9,,,,,,,,,,,,,
,266,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,267,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,268,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
27,,-,7.5,7.5,-,0.2,0.2,-,7.7,7.7,-,8.0,8.0,,,,,,,,,,,,,
,271,-,2.6,2.6,-,0.1,0.1,-,2.7,2.7,-,2.8,2.8,,,,,,,,,,,,,
,272,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,273,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.3,1.3,,,,,,,,,,,,,
,274,-,1.2,1.2,-,-,-,-,1.2,1.2,-,1.3,1.3,,,,,,,,,,,,,
,275,-,1.5,1.5,-,-,-,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,
,279,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
28,,-,12.4,12.4,-,1.5,1.5,-,13.9,13.9,-,14.1,14.1,,,,,,,,,,,,,
,281,-,3.5,3.5,-,0.4,0.4,-,3.9,3.9,-,3.9,3.9,,,,,,,,,,,,,
,282,-,5.4,5.4,-,0.6,0.6,-,6.0,6.0,-,6.1,6.1,,,,,,,,,,,,,
,283,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,284,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,289,-,2.7,2.7,-,0.3,0.3,-,3.0,3.0,-,3.1,3.1,,,,,,,,,,,,,
29,,-,16.0,16.0,-,0.6,0.6,-,16.6,16.6,-,17.1,17.1,,,,,,,,,,,,,
,291,-,9.8,9.8,-,0.2,0.2,-,10.0,10.0,-,10.0,10.0,,,,,,,,,,,,,
,292,-,2.7,2.7,-,0.2,0.2,-,2.9,2.9,-,3.1,3.1,,,,,,,,,,,,,
,293,-,3.5,3.5,-,0.3,0.3,-,3.7,3.7,-,4.0,4.0,,,,,,,,,,,,,
30,,-,24.4,24.4,-,0.8,0.8,-,25.1,25.1,-,25.1,25.1,,,,,,,,,,,,,
,301,-,5.7,5.7,-,0.1,0.1,-,5.8,5.8,-,5.8,5.8,,,,,,,,,,,,,
,302,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,303,-,17.9,17.9,-,0.6,0.6,-,18.5,18.5,-,18.5,18.5,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,309,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
31,,*,*,9.9,*,*,0.2,*,*,10.1,*,*,10.6,,,,,,,,,,,,,
,310,*,*,9.9,*,*,0.2,*,*,10.1,*,*,10.6,,,,,,,,,,,,,
32,,-,9.5,9.5,-,1.4,1.4,-,10.9,10.9,-,11.4,11.4,,,,,,,,,,,,,
,321,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
,322,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,323,-,0.9,0.9,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,324,-,0.5,0.5,-,0.1,0.1,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,325,-,3.6,3.6,-,0.5,0.5,-,4.1,4.1,-,4.3,4.3,,,,,,,,,,,,,
,329,-,4.2,4.2,-,0.7,0.7,-,4.9,4.9,-,5.1,5.1,,,,,,,,,,,,,
33,,*,*,6.9,*,*,1.2,*,*,8.0,*,*,8.5,,,,,,,,,,,,,
,331,*,*,5.8,*,*,1.0,*,*,6.8,*,*,7.2,,,,,,,,,,,,,
,332,-,1.1,1.1,-,0.2,0.2,-,1.2,1.2,-,1.3,1.3,,,,,,,,,,,,,
35,,*,*,10.7,*,*,0.9,*,*,11.6,*,*,11.6,,,,,,,,,,,,,
,351,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,352,*,*,6.9,*,*,0.8,*,*,7.8,*,*,7.8,,,,,,,,,,,,,
,353,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
36,,-,1.4,1.4,-,-,-,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,360,-,1.4,1.4,-,-,-,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
37,,*,*,2.0,*,*,0.1,*,*,2.1,*,*,2.1,,,,,,,,,,,,,
,370,*,*,2.0,*,*,0.1,*,*,2.1,*,*,2.1,,,,,,,,,,,,,
38,,2.0,11.4,13.4,0.6,0.4,1.0,2.7,11.8,14.5,2.7,11.9,14.6,,,,,,,,,,,,,
,381,1.3,5.0,6.3,0.5,0.2,0.8,1.9,5.2,7.1,1.9,5.3,7.2,,,,,,,,,,,,,
,382,0.7,3.7,4.4,0.1,0.1,0.2,0.8,3.8,4.6,0.8,3.8,4.6,,,,,,,,,,,,,
,383,-,2.8,2.8,-,-,-,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
39,,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,390,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
41,,*,*,26.5,*,*,3.5,0.7,29.4,30.0,0.7,38.7,39.3,,,,,,,,,,,,,
,411,*,*,4.1,*,*,1.3,-,5.4,5.4,-,11.2,11.2,,,,,,,,,,,,,
,412,0.4,22.0,22.4,0.2,2.0,2.2,0.6,24.0,24.6,0.6,27.5,28.1,,,,,,,,,,,,,
42,,2.0,21.8,23.8,0.6,1.0,1.5,2.5,22.8,25.3,2.5,24.5,27.1,,,,,,,,,,,,,
,421,*,*,7.0,*,*,0.5,*,*,7.4,*,*,8.2,,,,,,,,,,,,,
,422,-,3.9,3.9,-,-,-,-,3.9,3.9,-,3.9,3.9,,,,,,,,,,,,,
,429,*,*,12.9,*,*,1.0,*,*,14.0,*,*,14.9,,,,,,,,,,,,,
43,,*,*,70.4,*,*,6.3,0.1,76.6,76.7,0.1,87.1,87.2,,,,,,,,,,,,,
,431,*,*,4.1,*,*,-,*,*,4.2,*,*,4.2,,,,,,,,,,,,,
,432,*,*,31.2,*,*,2.9,*,*,34.1,*,*,38.4,,,,,,,,,,,,,
,433,-,22.4,22.4,-,2.9,2.9,-,25.3,25.3,-,30.4,30.4,,,,,,,,,,,,,
,439,*,*,12.7,*,*,0.5,*,*,13.2,*,*,14.2,,,,,,,,,,,,,
45,,0.4,47.2,47.6,0.1,5.9,5.9,0.5,53.1,53.6,0.5,57.8,58.3,,,,,,,,,,,,,
,451,-,22.9,22.9,-,1.6,1.6,-,24.5,24.5,-,26.4,26.4,,,,,,,,,,,,,
,452,0.4,18.0,18.4,0.1,3.1,3.2,0.5,21.1,21.6,0.5,23.4,23.9,,,,,,,,,,,,,
,453,-,5.3,5.3,-,1.0,1.0,-,6.3,6.3,-,6.8,6.8,,,,,,,,,,,,,
,454,-,1.1,1.1,-,0.1,0.1,-,1.1,1.1,-,1.3,1.3,,,,,,,,,,,,,
46,,*,*,98.9,*,*,17.4,*,*,116.3,*,*,123.0,,,,,,,,,,,,,
