Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,639,*,*,1.3,*,*,0.2,*,*,1.5,*,*,2.0,,,,,,,,,,,,,
64,,13.9,25.3,39.2,2.9,6.4,9.4,16.8,31.7,48.5,16.9,35.4,52.3,,,,,,,,,,,,,
,641,13.3,14.7,28.0,2.6,4.3,6.9,15.9,18.9,34.9,15.9,19.2,35.2,,,,,,,,,,,,,
,642,-,0.8,0.8,-,0.2,0.2,-,1.0,1.0,-,1.5,1.5,,,,,,,,,,,,,
,643,-,0.9,0.9,-,0.2,0.2,-,1.0,1.0,-,1.3,1.3,,,,,,,,,,,,,
,649,0.6,9.0,9.5,0.3,1.8,2.2,0.9,10.8,11.7,0.9,13.4,14.4,,,,,,,,,,,,,
65,,*,*,19.8,*,*,3.1,*,*,22.9,*,*,22.9,,,,,,,,,,,,,
,651,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,652,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
66,,*,*,38.2,*,*,7.7,*,*,45.9,*,*,47.6,,,,,,,,,,,,,
,661,0.2,9.9,10.1,0.1,1.8,1.9,0.2,11.7,11.9,0.2,12.3,12.6,,,,,,,,,,,,,
,662,0.7,25.0,25.6,0.2,5.3,5.5,0.8,30.3,31.1,0.8,31.4,32.2,,,,,,,,,,,,,
,663,*,*,2.5,*,*,0.3,*,*,2.8,*,*,2.9,,,,,,,,,,,,,
68,,0.7,35.6,36.3,0.3,19.0,19.3,1.1,54.6,55.6,1.2,66.5,67.7,,,,,,,,,,,,,
,681,-,0.2,0.2,-,0.2,0.2,-,0.4,0.4,-,0.8,0.8,,,,,,,,,,,,,
,682,0.2,12.4,12.6,0.1,7.3,7.4,0.3,19.7,20.0,0.3,25.7,26.1,,,,,,,,,,,,,
,683,0.6,22.9,23.5,0.2,11.5,11.7,0.8,34.5,35.3,0.9,40.0,40.8,,,,,,,,,,,,,
69,,0.3,43.0,43.3,0.3,18.0,18.2,0.5,61.0,61.5,0.6,68.2,68.8,,,,,,,,,,,,,
,691,*,*,15.1,*,*,9.7,*,*,24.8,*,*,28.7,,,,,,,,,,,,,
,692,*,*,28.2,*,*,8.5,*,*,36.7,*,*,40.1,,,,,,,,,,,,,
70,,1.3,67.8,69.1,0.4,15.8,16.2,1.7,83.6,85.3,1.7,99.6,101.3,,,,,,,,,,,,,
,701,0.9,35.4,36.3,0.2,3.7,3.9,1.1,39.1,40.2,1.1,39.3,40.4,,,,,,,,,,,,,
,702,0.4,32.4,32.8,0.2,12.1,12.3,0.6,44.5,45.1,0.6,60.3,60.9,,,,,,,,,,,,,
71,,1.5,53.1,54.6,0.2,7.2,7.4,1.7,60.3,62.0,1.7,66.0,67.7,,,,,,,,,,,,,
,711,1.2,49.9,51.1,0.2,6.7,6.9,1.4,56.7,58.0,1.4,61.8,63.1,,,,,,,,,,,,,
,712,0.3,3.1,3.5,-,0.5,0.5,0.3,3.6,4.0,0.3,4.2,4.6,,,,,,,,,,,,,
72,,*,*,28.1,*,*,3.8,5.8,26.0,31.8,5.8,26.8,32.5,,,,,,,,,,,,,
,721,*,*,27.3,*,*,3.6,5.6,25.3,30.8,5.6,25.9,31.5,,,,,,,,,,,,,
,722,*,*,0.8,*,*,0.2,0.2,0.8,1.0,0.2,0.8,1.0,,,,,,,,,,,,,
73,,-,15.0,15.0,-,13.1,13.1,-,28.2,28.2,-,30.0,30.0,,,,,,,,,,,,,
,731,-,8.9,8.9,-,7.6,7.6,-,16.5,16.5,-,17.7,17.7,,,,,,,,,,,,,
,732,-,6.2,6.2,-,5.5,5.5,-,11.7,11.7,-,12.3,12.3,,,,,,,,,,,,,
74,,*,*,11.4,*,*,4.0,*,*,15.5,*,*,21.0,,,,,,,,,,,,,
,741,-,2.8,2.8,-,1.1,1.1,-,3.8,3.8,-,5.4,5.4,,,,,,,,,,,,,
,742,-,1.7,1.7,-,0.5,0.5,-,2.2,2.2,-,2.9,2.9,,,,,,,,,,,,,
,743,*,*,0.2,*,*,0.1,*,*,0.3,*,*,0.4,,,,,,,,,,,,,
,749,*,*,6.7,*,*,2.4,*,*,9.1,*,*,12.3,,,,,,,,,,,,,
75,,*,*,3.5,*,*,1.9,*,*,5.4,*,*,6.2,,,,,,,,,,,,,
,750,*,*,3.5,*,*,1.9,*,*,5.4,*,*,6.2,,,,,,,,,,,,,
77,,*,*,11.6,*,*,2.6,*,*,14.3,*,*,15.1,,,,,,,,,,,,,
,771,-,4.2,4.2,-,0.7,0.7,-,4.8,4.8,-,5.4,5.4,,,,,,,,,,,,,
,772,-,1.1,1.1,-,0.8,0.8,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,773,*,*,6.4,*,*,1.2,*,*,7.6,*,*,7.8,,,,,,,,,,,,,
,774,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
78,,0.2,74.5,74.7,0.1,30.6,30.7,0.3,105.1,105.4,0.3,106.8,107.1,,,,,,,,,,,,,
,781,*,*,20.1,*,*,9.2,*,*,29.3,*,*,30.0,,,,,,,,,,,,,
,782,0.1,54.0,54.1,0.1,21.3,21.3,0.1,75.3,75.4,0.1,76.3,76.5,,,,,,,,,,,,,
,783,*,*,0.5,*,*,0.1,*,*,0.7,*,*,0.7,,,,,,,,,,,,,
79,,*,*,9.2,*,*,3.3,*,*,12.5,*,*,12.8,,,,,,,,,,,,,
,791,*,*,8.8,*,*,2.5,*,*,11.3,*,*,11.5,,,,,,,,,,,,,
,799,0.2,0.3,0.5,0.3,0.4,0.8,0.6,0.7,1.2,0.6,0.7,1.2,,,,,,,,,,,,,
80,,-,15.1,15.1,0.2,3.3,3.5,0.2,18.4,18.6,0.2,19.0,19.2,,,,,,,,,,,,,
,801,*,*,14.2,*,*,3.2,*,*,17.4,*,*,17.9,,,,,,,,,,,,,
,802,*,*,0.8,*,*,0.2,*,*,1.0,*,*,1.0,,,,,,,,,,,,,
,803,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
81,,0.5,43.1,43.6,0.8,45.8,46.6,1.3,88.9,90.2,1.3,94.1,95.4,,,,,,,,,,,,,
,811,0.1,8.9,9.0,-,4.1,4.1,0.1,13.0,13.1,0.1,13.0,13.1,,,,,,,,,,,,,
,812,0.2,21.7,22.0,0.7,38.5,39.3,1.0,60.3,61.2,1.0,62.2,63.1,,,,,,,,,,,,,
,813,0.2,12.5,12.6,0.1,3.2,3.2,0.2,15.6,15.9,0.2,18.9,19.2,,,,,,,,,,,,,
82,,0.4,24.8,25.2,0.2,10.1,10.3,0.6,34.9,35.5,0.6,41.6,42.1,,,,,,,,,,,,,
,821,*,*,2.1,*,*,0.9,*,*,3.0,*,*,3.4,,,,,,,,,,,,,
,822,0.1,4.7,4.8,0.1,1.5,1.6,0.2,6.1,6.3,0.2,6.4,6.6,,,,,,,,,,,,,
,823,*,*,1.5,*,*,0.4,*,*,1.9,*,*,2.4,,,,,,,,,,,,,
,829,*,*,16.8,*,*,7.4,0.4,23.9,24.2,0.4,29.4,29.8,,,,,,,,,,,,,
84,,125.4,0.6,126.0,40.3,0.5,40.8,165.7,1.1,166.8,165.7,1.1,166.8,,,,,,,,,,,,,
,841,66.8,0.4,67.2,30.1,0.5,30.6,96.9,0.9,97.8,96.9,0.9,97.8,,,,,,,,,,,,,
,842,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,843,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
85,,102.0,100.2,202.2,133.4,59.1,192.5,235.4,159.3,394.7,236.4,163.1,399.5,,,,,,,,,,,,,
,851,*,*,5.4,*,*,4.9,*,*,10.2,*,*,10.7,,,,,,,,,,,,,
,852,41.7,20.9,62.5,81.6,13.1,94.7,123.2,34.0,157.2,123.6,35.2,158.8,,,,,,,,,,,,,
,853,51.9,16.2,68.1,41.7,9.9,51.6,93.6,26.1,119.7,94.1,26.7,120.8,,,,,,,,,,,,,
,854,2.5,41.1,43.6,2.9,23.0,25.9,5.4,64.1,69.5,5.5,64.5,70.0,,,,,,,,,,,,,
,855,4.3,17.7,22.0,5.2,9.9,15.1,9.5,27.5,37.0,9.5,28.7,38.2,,,,,,,,,,,,,
,856,*,*,0.6,*,*,0.4,*,*,1.0,*,*,1.0,,,,,,,,,,,,,
86,,103.9,36.0,139.9,64.8,51.3,116.0,168.7,87.2,256.0,168.8,98.9,267.7,,,,,,,,,,,,,
,861,85.8,15.3,101.0,53.4,13.5,66.8,139.1,28.7,167.9,139.1,28.8,167.9,,,,,,,,,,,,,
,862,0.7,14.8,15.5,0.8,32.3,33.0,1.5,47.1,48.6,1.5,55.4,56.9,,,,,,,,,,,,,
,869,17.5,5.9,23.4,10.6,5.5,16.2,28.1,11.5,39.5,28.2,14.7,42.8,,,,,,,,,,,,,
87,,4.9,50.3,55.2,4.9,40.1,45.0,9.9,90.4,100.2,9.9,91.5,101.4,,,,,,,,,,,,,
,871,0.9,12.5,13.5,0.7,9.0,9.7,1.6,21.6,23.2,1.6,21.8,23.4,,,,,,,,,,,,,
,872,0.4,4.0,4.4,0.9,1.6,2.5,1.4,5.6,6.9,1.4,5.6,7.0,,,,,,,,,,,,,
,873,0.8,16.2,17.0,0.9,16.2,17.2,1.7,32.4,34.1,1.7,32.9,34.6,,,,,,,,,,,,,
,879,2.8,17.5,20.3,2.4,13.2,15.6,5.2,30.8,35.9,5.2,31.2,36.4,,,,,,,,,,,,,
88,,17.1,39.4,56.5,12.3,41.2,53.4,29.4,80.6,109.9,29.4,81.7,111.1,,,,,,,,,,,,,
,881,0.5,14.4,14.9,0.4,18.3,18.7,0.9,32.7,33.7,0.9,33.1,34.0,,,,,,,,,,,,,
,889,16.6,25.0,41.6,11.9,22.9,34.7,28.4,47.8,76.3,28.4,48.6,77.0,,,,,,,,,,,,,
90,,0.4,2.8,3.2,0.5,2.0,2.5,0.9,4.8,5.7,1.0,9.0,10.1,,,,,,,,,,,,,
,900,0.4,2.8,3.2,0.5,2.0,2.5,0.9,4.8,5.7,1.0,9.0,10.1,,,,,,,,,,,,,
91,,3.7,5.0,8.6,4.1,2.3,6.4,7.7,7.3,15.0,7.8,7.7,15.5,,,,,,,,,,,,,
,910,3.7,5.0,8.6,4.1,2.3,6.4,7.7,7.3,15.0,7.8,7.7,15.5,,,,,,,,,,,,,
92,,*,*,4.7,*,*,4.2,*,*,8.8,*,*,8.9,,,,,,,,,,,,,
,920,*,*,4.7,*,*,4.2,*,*,8.8,*,*,8.9,,,,,,,,,,,,,
93,,1.9,24.4,26.4,3.2,35.3,38.4,5.1,59.7,64.8,5.1,61.7,66.9,,,,,,,,,,,,,
,931,1.4,21.7,23.1,3.1,31.1,34.2,4.5,52.8,57.2,4.5,54.1,58.6,,,,,,,,,,,,,
,932,0.5,2.8,3.3,0.1,4.1,4.3,0.7,6.9,7.6,0.7,7.6,8.2,,,,,,,,,,,,,
94,,0.8,19.6,20.3,1.2,12.5,13.6,1.9,32.0,34.0,1.9,32.3,34.3,,,,,,,,,,,,,
,941,*,*,5.4,*,*,1.0,*,*,6.4,*,*,6.4,,,,,,,,,,,,,
,942,*,*,0.3,*,*,0.1,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
,949,0.7,13.9,14.6,1.2,11.4,12.6,1.9,25.3,27.2,1.9,25.6,27.5,,,,,,,,,,,,,
95,,0.3,5.5,5.7,0.1,0.9,1.0,0.4,6.4,6.8,0.4,7.2,7.6,,,,,,,,,,,,,
,951,0.3,4.7,5.0,0.1,0.6,0.7,0.4,5.3,5.7,0.4,5.8,6.2,,,,,,,,,,,,,
,952,-,0.7,0.7,-,0.3,0.3,-,1.1,1.1,-,1.4,1.4,,,,,,,,,,,,,
96,,0.2,27.6,27.8,0.1,12.8,12.9,0.3,40.5,40.7,0.3,48.7,49.0,,,,,,,,,,,,,
,960,0.2,27.6,27.8,0.1,12.8,12.9,0.3,40.5,40.7,0.3,48.7,49.0,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Employment is defined as employees plus working proprietors,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Figures may not add up due to rounding. Figures are rounded to the nearest thousand and to one decimal place. For example 2.4 is equal to 2,400, and represents a figure in the range 2,350 - 2,449.",,,,,,,,,,,,,,,,,,,,,,,,,,
3. Cells containing an asterisk (*) represent disclosive data that cannot be published.,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Cells containing a hyphen (-) represent a zero or less than 50.,,,,,,,,,,,,,,,,,,,,,,,,,,
*01 includes farm agriculture data. Farm agriculture estimates are not available below this level so estimates at a 3-digit level only include non-farm agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,
