Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,West Midlands,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,162,-,6.4,6.4,-,1.7,1.7,-,8.1,8.1,-,8.3,8.3,,,,,,,,,,,,,
17,,*,*,2.9,*,*,0.3,*,*,3.2,*,*,3.2,,,,,,,,,,,,,
,171,-,0.4,0.4,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,172,*,*,2.5,*,*,0.2,*,*,2.7,*,*,2.7,,,,,,,,,,,,,
18,,*,*,6.3,*,*,1.0,0.1,7.2,7.2,0.1,8.0,8.0,,,,,,,,,,,,,
,181,*,*,6.1,*,*,0.9,0.1,7.0,7.1,0.1,7.8,7.8,,,,,,,,,,,,,
,182,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
19,,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,191,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,192,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
20,,-,4.2,4.2,-,0.3,0.3,-,4.5,4.5,-,4.8,4.8,,,,,,,,,,,,,
,201,-,1.5,1.5,-,0.1,0.1,-,1.6,1.6,-,1.7,1.7,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,0.9,0.9,-,-,-,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,204,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,205,-,1.0,1.0,-,0.1,0.1,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,0.5,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
22,,-,15.6,15.6,-,2.0,2.0,-,17.6,17.6,-,18.0,18.0,,,,,,,,,,,,,
,221,-,2.7,2.7,-,0.5,0.5,-,3.2,3.2,-,3.2,3.2,,,,,,,,,,,,,
,222,-,12.9,12.9,-,1.5,1.5,-,14.4,14.4,-,14.8,14.8,,,,,,,,,,,,,
23,,-,14.0,14.0,-,0.4,0.4,-,14.4,14.4,-,14.6,14.6,,,,,,,,,,,,,
,231,-,2.4,2.4,-,0.1,0.1,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
,232,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,233,-,1.8,1.8,-,-,-,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,234,-,4.6,4.6,-,0.1,0.1,-,4.7,4.7,-,4.8,4.8,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,236,-,2.5,2.5,-,0.1,0.1,-,2.6,2.6,-,2.6,2.6,,,,,,,,,,,,,
,237,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,239,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,
24,,-,11.9,11.9,-,0.7,0.7,-,12.6,12.6,-,12.7,12.7,,,,,,,,,,,,,
,241,-,1.0,1.0,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,242,-,1.7,1.7,-,0.1,0.1,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,
,243,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.8,0.8,,,,,,,,,,,,,
,244,-,4.0,4.0,-,0.2,0.2,-,4.2,4.2,-,4.2,4.2,,,,,,,,,,,,,
,245,-,4.6,4.6,-,0.2,0.2,-,4.8,4.8,-,4.8,4.8,,,,,,,,,,,,,
25,,-,47.8,47.8,-,4.3,4.3,-,52.1,52.1,-,54.1,54.1,,,,,,,,,,,,,
,251,-,8.1,8.1,-,0.8,0.8,-,8.9,8.9,-,9.2,9.2,,,,,,,,,,,,,
,252,-,2.0,2.0,-,0.1,0.1,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,253,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,254,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,255,-,7.0,7.0,-,0.5,0.5,-,7.5,7.5,-,7.7,7.7,,,,,,,,,,,,,
,256,-,14.5,14.5,-,1.5,1.5,-,16.0,16.0,-,16.7,16.7,,,,,,,,,,,,,
,257,-,6.3,6.3,-,0.5,0.5,-,6.8,6.8,-,7.0,7.0,,,,,,,,,,,,,
,259,-,9.5,9.5,-,0.9,0.9,-,10.4,10.4,-,10.8,10.8,,,,,,,,,,,,,
26,,-,8.4,8.4,-,0.9,0.9,-,9.3,9.3,-,9.5,9.5,,,,,,,,,,,,,
,261,-,1.4,1.4,-,0.1,0.1,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,262,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,263,-,1.3,1.3,-,0.2,0.2,-,1.5,1.5,-,1.5,1.5,,,,,,,,,,,,,
,264,-,*,*,-,*,*,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,265,-,4.5,4.5,-,0.5,0.5,-,5.0,5.0,-,5.0,5.0,,,,,,,,,,,,,
,266,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,267,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,268,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
27,,*,*,10.7,*,*,0.7,*,*,11.4,*,*,11.5,,,,,,,,,,,,,
,271,-,4.4,4.4,-,0.2,0.2,-,4.7,4.7,-,4.7,4.7,,,,,,,,,,,,,
,272,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,273,*,*,0.5,*,*,-,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,274,-,2.0,2.0,-,0.3,0.3,-,2.3,2.3,-,2.3,2.3,,,,,,,,,,,,,
,275,-,2.6,2.6,-,0.1,0.1,-,2.7,2.7,-,2.7,2.7,,,,,,,,,,,,,
,279,-,1.0,1.0,-,0.1,0.1,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
28,,-,23.4,23.4,-,1.7,1.7,-,25.2,25.2,-,25.9,25.9,,,,,,,,,,,,,
,281,-,6.4,6.4,-,0.4,0.4,-,6.8,6.8,-,7.0,7.0,,,,,,,,,,,,,
,282,-,9.4,9.4,-,0.8,0.8,-,10.2,10.2,-,10.6,10.6,,,,,,,,,,,,,
,283,-,0.9,0.9,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,284,-,1.9,1.9,-,0.2,0.2,-,2.1,2.1,-,2.2,2.2,,,,,,,,,,,,,
,289,-,4.8,4.8,-,0.3,0.3,-,5.1,5.1,-,5.2,5.2,,,,,,,,,,,,,
29,,*,*,35.4,*,*,1.0,*,*,36.4,*,*,36.6,,,,,,,,,,,,,
,291,-,14.4,14.4,-,0.2,0.2,-,14.6,14.6,-,14.6,14.6,,,,,,,,,,,,,
,292,-,2.6,2.6,-,0.1,0.1,-,2.7,2.7,-,2.7,2.7,,,,,,,,,,,,,
,293,*,*,18.4,*,*,0.7,*,*,19.1,*,*,19.2,,,,,,,,,,,,,
30,,-,8.2,8.2,-,0.3,0.3,-,8.5,8.5,-,8.6,8.6,,,,,,,,,,,,,
,301,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,-,6.0,6.0,-,0.1,0.1,-,6.1,6.1,-,6.1,6.1,,,,,,,,,,,,,
,304,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,309,-,0.9,0.9,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
31,,-,5.9,5.9,-,1.0,1.0,-,6.9,6.9,-,7.8,7.8,,,,,,,,,,,,,
,310,-,5.9,5.9,-,1.0,1.0,-,6.9,6.9,-,7.8,7.8,,,,,,,,,,,,,
32,,-,5.1,5.1,-,0.8,0.8,-,5.8,5.8,-,6.8,6.8,,,,,,,,,,,,,
,321,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,1.2,1.2,,,,,,,,,,,,,
,322,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,323,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.3,0.3,,,,,,,,,,,,,
,324,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,325,-,2.1,2.1,-,0.3,0.3,-,2.4,2.4,-,2.7,2.7,,,,,,,,,,,,,
,329,-,1.6,1.6,-,0.3,0.3,-,1.9,1.9,-,2.3,2.3,,,,,,,,,,,,,
33,,*,*,10.7,*,*,0.3,*,*,11.0,*,*,11.1,,,,,,,,,,,,,
,331,*,*,8.8,*,*,0.3,*,*,9.1,*,*,9.1,,,,,,,,,,,,,
,332,-,1.9,1.9,-,-,-,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
35,,-,11.4,11.4,-,0.7,0.7,-,12.1,12.1,-,12.1,12.1,,,,,,,,,,,,,
,351,-,5.0,5.0,-,0.2,0.2,-,5.2,5.2,-,5.2,5.2,,,,,,,,,,,,,
,352,-,6.5,6.5,-,0.5,0.5,-,6.9,6.9,-,6.9,6.9,,,,,,,,,,,,,
,353,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
36,,-,3.2,3.2,-,0.2,0.2,-,3.4,3.4,-,3.4,3.4,,,,,,,,,,,,,
,360,-,3.2,3.2,-,0.2,0.2,-,3.4,3.4,-,3.4,3.4,,,,,,,,,,,,,
37,,*,*,1.2,*,*,0.1,*,*,1.3,*,*,1.3,,,,,,,,,,,,,
,370,*,*,1.2,*,*,0.1,*,*,1.3,*,*,1.3,,,,,,,,,,,,,
38,,1.1,7.9,9.1,0.3,1.0,1.4,1.5,9.0,10.4,1.5,9.9,11.4,,,,,,,,,,,,,
,381,*,*,4.1,*,*,0.3,*,*,4.4,*,*,4.5,,,,,,,,,,,,,
,382,*,*,1.6,*,*,0.3,*,*,1.9,*,*,2.6,,,,,,,,,,,,,
,383,-,3.4,3.4,-,0.8,0.8,-,4.2,4.2,-,4.3,4.3,,,,,,,,,,,,,
39,,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,390,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
41,,1.1,14.9,16.0,0.3,2.2,2.5,1.4,17.1,18.5,1.4,24.2,25.6,,,,,,,,,,,,,
,411,*,*,1.1,*,*,0.8,*,*,1.8,*,*,5.4,,,,,,,,,,,,,
,412,*,*,14.9,*,*,1.7,*,*,16.7,*,*,20.2,,,,,,,,,,,,,
42,,*,*,15.8,*,*,0.4,*,*,16.2,*,*,16.8,,,,,,,,,,,,,
,421,0.4,3.5,3.9,0.1,-,0.1,0.4,3.6,4.0,0.4,3.6,4.0,,,,,,,,,,,,,
,422,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,429,*,*,11.7,*,*,0.3,*,*,12.0,*,*,12.6,,,,,,,,,,,,,
43,,*,*,59.9,*,*,7.6,*,*,67.4,*,*,76.9,,,,,,,,,,,,,
,431,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
,432,*,*,28.8,*,*,2.9,*,*,31.6,*,*,36.3,,,,,,,,,,,,,
,433,*,*,20.3,*,*,3.8,*,*,24.1,*,*,27.4,,,,,,,,,,,,,
,439,-,10.0,10.0,-,0.9,0.9,-,10.8,10.8,-,12.3,12.3,,,,,,,,,,,,,
45,,0.1,43.9,44.0,0.1,7.7,7.8,0.2,51.7,51.9,0.2,56.1,56.3,,,,,,,,,,,,,
,451,*,*,15.0,*,*,2.0,*,*,17.0,*,*,17.8,,,,,,,,,,,,,
,452,*,*,16.3,*,*,3.7,*,*,20.1,*,*,23.0,,,,,,,,,,,,,
,453,-,12.1,12.1,-,1.9,1.9,-,14.0,14.0,-,14.6,14.6,,,,,,,,,,,,,
,454,-,0.7,0.7,-,0.1,0.1,-,0.8,0.8,-,0.9,0.9,,,,,,,,,,,,,
46,,*,*,98.4,*,*,14.3,*,*,112.7,*,*,118.9,,,,,,,,,,,,,
,461,-,1.7,1.7,-,0.3,0.3,-,2.0,2.0,-,2.9,2.9,,,,,,,,,,,,,
,462,-,0.8,0.8,-,0.1,0.1,-,0.9,0.9,-,1.0,1.0,,,,,,,,,,,,,
,463,-,14.9,14.9,-,2.7,2.7,-,17.6,17.6,-,18.3,18.3,,,,,,,,,,,,,
,464,*,*,17.0,*,*,3.5,*,*,20.5,*,*,21.3,,,,,,,,,,,,,
,465,-,6.4,6.4,-,0.5,0.5,-,6.8,6.8,-,6.9,6.9,,,,,,,,,,,,,
,466,-,21.7,21.7,-,2.1,2.1,-,23.8,23.8,-,24.9,24.9,,,,,,,,,,,,,
,467,-,31.0,31.0,-,4.5,4.5,-,35.6,35.6,-,37.0,37.0,,,,,,,,,,,,,
,469,-,4.9,4.9,-,0.6,0.6,-,5.5,5.5,-,6.5,6.5,,,,,,,,,,,,,
47,,0.1,99.7,99.8,-,137.3,137.3,0.1,237.0,237.2,0.1,254.4,254.6,,,,,,,,,,,,,
,471,-,35.9,35.9,-,67.3,67.3,-,103.2,103.2,-,106.3,106.3,,,,,,,,,,,,,
