Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yorkshire and The Humber ,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,649,*,*,3.3,*,*,1.2,0.1,4.4,4.5,0.1,4.5,4.6,,,,,,,,,,,,,
65,,0.1,1.7,1.9,-,0.5,0.5,0.1,2.3,2.4,0.1,2.4,2.6,,,,,,,,,,,,,
,651,0.1,1.7,1.9,-,0.5,0.5,0.1,2.3,2.4,0.1,2.4,2.6,,,,,,,,,,,,,
,652,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,653,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
66,,4.2,16.1,20.3,0.1,3.4,3.5,4.3,19.5,23.8,4.3,19.6,24.0,,,,,,,,,,,,,
,661,*,*,5.3,*,*,0.8,0.2,5.9,6.1,0.2,5.9,6.1,,,,,,,,,,,,,
,662,3.9,10.8,14.7,0.1,2.6,2.6,3.9,13.4,17.3,3.9,13.6,17.5,,,,,,,,,,,,,
,663,*,*,0.3,*,*,0.1,0.2,0.1,0.4,0.2,0.1,0.4,,,,,,,,,,,,,
68,,4.0,11.4,15.4,0.8,5.0,5.7,4.8,16.3,21.1,4.9,25.0,29.9,,,,,,,,,,,,,
,681,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.5,0.5,,,,,,,,,,,,,
,682,0.9,5.3,6.2,0.2,2.1,2.3,1.2,7.4,8.5,1.2,13.1,14.3,,,,,,,,,,,,,
,683,3.1,6.0,9.1,0.5,2.8,3.4,3.6,8.8,12.4,3.7,11.3,15.0,,,,,,,,,,,,,
69,,0.7,22.3,23.0,0.2,7.1,7.3,0.9,29.4,30.3,0.9,33.4,34.3,,,,,,,,,,,,,
,691,0.3,12.7,13.0,0.1,3.1,3.2,0.4,15.7,16.2,0.4,18.5,19.0,,,,,,,,,,,,,
,692,0.4,9.7,10.1,0.1,4.0,4.1,0.4,13.7,14.1,0.4,14.9,15.3,,,,,,,,,,,,,
70,,0.8,20.8,21.6,0.4,3.7,4.1,1.2,24.5,25.6,1.2,28.7,29.8,,,,,,,,,,,,,
,701,*,*,10.9,*,*,1.8,*,*,12.7,*,*,12.7,,,,,,,,,,,,,
,702,*,*,10.6,*,*,2.3,*,*,12.9,*,*,17.1,,,,,,,,,,,,,
71,,0.6,23.3,23.8,0.3,3.5,3.8,0.8,26.8,27.6,0.8,28.9,29.8,,,,,,,,,,,,,
,711,0.2,21.0,21.1,0.2,3.4,3.6,0.3,24.4,24.7,0.3,26.5,26.9,,,,,,,,,,,,,
,712,0.4,2.3,2.7,0.1,0.1,0.2,0.5,2.4,2.9,0.5,2.4,2.9,,,,,,,,,,,,,
72,,0.7,2.4,3.2,0.2,0.3,0.5,0.9,2.7,3.7,0.9,2.7,3.7,,,,,,,,,,,,,
,721,*,*,3.0,*,*,0.5,*,*,3.5,*,*,3.5,,,,,,,,,,,,,
,722,*,*,0.2,*,*,0.1,*,*,0.2,*,*,0.2,,,,,,,,,,,,,
73,,*,*,4.0,*,*,2.2,*,*,6.2,*,*,6.8,,,,,,,,,,,,,
,731,*,*,3.0,*,*,1.4,*,*,4.4,*,*,4.8,,,,,,,,,,,,,
,732,-,1.0,1.0,-,0.8,0.8,-,1.8,1.8,-,2.0,2.0,,,,,,,,,,,,,
74,,-,5.7,5.7,-,1.5,1.5,-,7.2,7.2,-,9.9,9.9,,,,,,,,,,,,,
,741,-,1.5,1.5,-,0.4,0.4,-,1.9,1.9,-,2.7,2.7,,,,,,,,,,,,,
,742,-,0.7,0.7,-,0.3,0.3,-,1.0,1.0,-,1.3,1.3,,,,,,,,,,,,,
,743,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,749,-,3.1,3.1,-,0.8,0.8,-,3.9,3.9,-,5.5,5.5,,,,,,,,,,,,,
75,,*,*,1.8,*,*,0.7,*,*,2.5,*,*,2.7,,,,,,,,,,,,,
,750,*,*,1.8,*,*,0.7,*,*,2.5,*,*,2.7,,,,,,,,,,,,,
77,,*,*,6.1,*,*,0.8,*,*,7.0,*,*,7.3,,,,,,,,,,,,,
,771,*,*,1.3,*,*,0.2,*,*,1.5,*,*,1.5,,,,,,,,,,,,,
,772,-,1.1,1.1,-,0.4,0.4,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,773,*,*,3.8,*,*,0.3,*,*,4.0,*,*,4.4,,,,,,,,,,,,,
,774,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
78,,0.2,53.4,53.7,0.1,18.1,18.2,0.3,71.5,71.8,0.3,72.6,72.9,,,,,,,,,,,,,
,781,*,*,7.0,*,*,2.8,*,*,9.8,*,*,10.1,,,,,,,,,,,,,
,782,0.2,46.3,46.5,0.1,15.3,15.3,0.3,61.6,61.8,0.3,62.3,62.6,,,,,,,,,,,,,
,783,*,*,0.1,*,*,-,*,*,0.2,*,*,0.2,,,,,,,,,,,,,
79,,0.1,4.0,4.1,0.1,1.3,1.4,0.3,5.3,5.6,0.3,5.8,6.1,,,,,,,,,,,,,
,791,*,*,4.0,*,*,1.3,*,*,5.3,*,*,5.8,,,,,,,,,,,,,
,799,*,*,0.1,*,*,0.1,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
80,,*,*,10.7,*,*,3.8,*,*,14.5,*,*,14.7,,,,,,,,,,,,,
,801,*,*,10.5,*,*,3.7,*,*,14.1,*,*,14.4,,,,,,,,,,,,,
,802,*,*,0.2,*,*,0.1,*,*,0.3,*,*,0.3,,,,,,,,,,,,,
,803,*,*,-,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,
81,,2.4,15.2,17.6,1.4,18.5,19.9,3.8,33.7,37.5,3.8,35.3,39.1,,,,,,,,,,,,,
,811,0.9,2.9,3.8,0.4,2.0,2.5,1.3,4.9,6.2,1.3,4.9,6.2,,,,,,,,,,,,,
,812,1.3,6.4,7.7,0.9,15.4,16.3,2.2,21.8,24.0,2.2,22.3,24.4,,,,,,,,,,,,,
,813,0.3,5.9,6.2,0.1,1.1,1.1,0.4,7.0,7.3,0.4,8.1,8.4,,,,,,,,,,,,,
82,,0.5,22.3,22.9,0.7,7.8,8.5,1.2,30.1,31.3,1.2,31.3,32.5,,,,,,,,,,,,,
,821,*,*,1.7,*,*,0.2,*,*,1.9,*,*,1.9,,,,,,,,,,,,,
,822,0.2,9.1,9.3,0.6,3.6,4.2,0.8,12.7,13.5,0.8,12.7,13.5,,,,,,,,,,,,,
,823,-,0.6,0.6,-,0.2,0.2,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,829,*,*,11.4,*,*,3.8,*,*,15.2,*,*,16.2,,,,,,,,,,,,,
84,,*,*,93.6,*,*,39.2,*,*,132.7,*,*,132.7,,,,,,,,,,,,,
,841,53.2,0.1,53.3,30.0,-,30.1,83.2,0.1,83.3,83.2,0.1,83.3,,,,,,,,,,,,,
,842,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,843,*,-,*,*,-,*,*,-,*,*,-,*,,,,,,,,,,,,,
85,,72.0,36.4,108.4,82.7,27.7,110.4,154.7,64.2,218.8,154.9,65.2,220.1,,,,,,,,,,,,,
,851,*,*,2.0,*,*,2.5,*,*,4.5,*,*,4.5,,,,,,,,,,,,,
,852,31.0,3.0,34.0,51.1,3.0,54.1,82.1,6.0,88.1,82.2,6.2,88.4,,,,,,,,,,,,,
,853,36.0,4.9,40.8,26.0,3.7,29.7,61.9,8.6,70.5,62.0,8.8,70.8,,,,,,,,,,,,,
,854,1.2,20.8,22.0,1.3,14.1,15.4,2.5,34.9,37.4,2.5,35.0,37.4,,,,,,,,,,,,,
,855,2.6,6.7,9.3,2.7,5.9,8.6,5.3,12.6,17.9,5.4,13.1,18.5,,,,,,,,,,,,,
,856,*,*,0.3,*,*,0.2,*,*,0.5,*,*,0.5,,,,,,,,,,,,,
86,,83.5,17.3,100.9,52.9,28.2,81.2,136.5,45.6,182.0,136.5,51.9,188.4,,,,,,,,,,,,,
,861,68.8,7.6,76.4,42.8,6.2,49.1,111.6,13.8,125.4,111.6,13.9,125.5,,,,,,,,,,,,,
,862,0.4,7.4,7.8,0.6,17.3,17.9,1.0,24.7,25.7,1.0,30.4,31.4,,,,,,,,,,,,,
,869,14.4,2.3,16.7,9.5,4.7,14.2,23.9,7.1,30.9,23.9,7.7,31.6,,,,,,,,,,,,,
87,,3.8,29.6,33.4,4.3,21.8,26.0,8.1,51.4,59.5,8.1,51.9,60.0,,,,,,,,,,,,,
,871,0.3,10.6,10.9,0.2,6.4,6.6,0.5,17.0,17.5,0.5,17.1,17.6,,,,,,,,,,,,,
,872,0.6,2.2,2.8,0.3,0.9,1.2,0.9,3.1,4.0,0.9,3.1,4.0,,,,,,,,,,,,,
,873,1.5,8.7,10.2,1.8,9.5,11.3,3.3,18.2,21.5,3.3,18.4,21.7,,,,,,,,,,,,,
,879,1.4,8.1,9.5,1.9,5.1,7.0,3.4,13.2,16.5,3.4,13.3,16.7,,,,,,,,,,,,,
88,,13.6,25.0,38.6,13.3,27.9,41.2,26.9,52.9,79.8,26.9,54.4,81.3,,,,,,,,,,,,,
,881,1.0,9.0,10.0,1.6,10.4,12.0,2.6,19.4,22.0,2.6,19.5,22.1,,,,,,,,,,,,,
,889,12.6,16.0,28.6,11.7,17.5,29.2,24.3,33.5,57.8,24.4,34.9,59.3,,,,,,,,,,,,,
90,,0.3,1.5,1.8,0.2,0.9,1.0,0.4,2.4,2.8,0.4,6.1,6.6,,,,,,,,,,,,,
,900,0.3,1.5,1.8,0.2,0.9,1.0,0.4,2.4,2.8,0.4,6.1,6.6,,,,,,,,,,,,,
91,,3.2,0.7,3.9,3.6,0.8,4.4,6.8,1.5,8.3,6.8,1.5,8.3,,,,,,,,,,,,,
,910,3.2,0.7,3.9,3.6,0.8,4.4,6.8,1.5,8.3,6.8,1.5,8.3,,,,,,,,,,,,,
92,,*,*,4.8,*,*,4.6,*,*,9.4,*,*,9.5,,,,,,,,,,,,,
,920,*,*,4.8,*,*,4.6,*,*,9.4,*,*,9.5,,,,,,,,,,,,,
93,,2.3,11.0,13.3,4.6,20.4,24.9,6.9,31.3,38.2,6.9,32.0,38.9,,,,,,,,,,,,,
,931,1.9,7.3,9.2,3.9,16.8,20.7,5.9,24.0,29.9,5.9,24.6,30.4,,,,,,,,,,,,,
,932,0.4,3.7,4.1,0.6,3.6,4.3,1.0,7.3,8.4,1.1,7.4,8.5,,,,,,,,,,,,,
94,,1.4,6.5,7.9,1.0,5.6,6.6,2.4,12.1,14.5,2.4,12.5,14.9,,,,,,,,,,,,,
,941,*,*,0.3,*,*,0.2,*,*,0.5,*,*,0.5,,,,,,,,,,,,,
,942,*,*,0.3,*,*,0.1,*,*,0.4,*,*,0.4,,,,,,,,,,,,,
,949,1.3,5.9,7.2,1.0,5.3,6.4,2.4,11.2,13.6,2.4,11.6,14.0,,,,,,,,,,,,,
95,,*,*,1.3,*,*,0.3,*,*,1.5,*,*,1.8,,,,,,,,,,,,,
,951,*,*,0.8,*,*,0.1,*,*,0.9,*,*,1.0,,,,,,,,,,,,,
,952,-,0.5,0.5,-,0.2,0.2,-,0.6,0.6,-,0.8,0.8,,,,,,,,,,,,,
96,,0.1,10.8,10.9,0.1,8.7,8.8,0.2,19.5,19.7,0.2,23.8,24.0,,,,,,,,,,,,,
,960,0.1,10.8,10.9,0.1,8.7,8.8,0.2,19.5,19.7,0.2,23.8,24.0,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Employment is defined as employees plus working proprietors,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Figures may not add up due to rounding. Figures are rounded to the nearest thousand and to one decimal place. For example 2.4 is equal to 2,400, and represents a figure in the range 2,350 - 2,449.",,,,,,,,,,,,,,,,,,,,,,,,,,
3. Cells containing an asterisk (*) represent disclosive data that cannot be published.,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Cells containing a hyphen (-) represent a zero or less than 50.,,,,,,,,,,,,,,,,,,,,,,,,,,
*01 includes farm agriculture data. Farm agriculture estimates are not available below this level so estimates at a 3-digit level only include non-farm agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,
