Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,2.3,2.3,-,0.9,0.9,-,3.2,3.2,-,10.7,10.7,,,,,,,,,,,,,
17,,*,*,3.9,*,*,0.1,*,*,4.0,*,*,4.0,,,,,,,,,,,,,
,171,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,172,*,*,*,*,*,*,*,*,3.8,*,*,3.8,,,,,,,,,,,,,
18,,*,*,3.1,*,*,0.9,*,*,4.0,*,*,4.4,,,,,,,,,,,,,
,181,*,*,3.1,*,*,0.9,*,*,4.0,*,*,4.4,,,,,,,,,,,,,
,182,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
19,,-,1.1,1.1,-,-,-,-,1.1,1.1,-,1.1,1.1,,,,,,,,,,,,,
,191,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,192,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
20,,*,*,9.1,*,*,0.3,*,*,9.4,*,*,9.4,,,,,,,,,,,,,
,201,*,*,5.1,*,*,0.1,*,*,5.2,*,*,5.2,,,,,,,,,,,,,
,202,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,203,-,1.7,1.7,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,204,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,205,-,1.4,1.4,-,0.1,0.1,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,206,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
21,,*,*,2.9,*,*,0.2,*,*,3.1,*,*,3.1,,,,,,,,,,,,,
,211,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,212,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,
22,,-,7.0,7.0,-,0.3,0.3,-,7.4,7.4,-,7.6,7.6,,,,,,,,,,,,,
,221,-,0.6,0.6,-,-,-,-,0.6,0.6,-,0.7,0.7,,,,,,,,,,,,,
,222,-,6.4,6.4,-,0.3,0.3,-,6.7,6.7,-,6.9,6.9,,,,,,,,,,,,,
23,,-,2.8,2.8,-,0.1,0.1,-,3.0,3.0,-,3.2,3.2,,,,,,,,,,,,,
,231,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,
,232,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,233,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,234,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,236,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,
