Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Northern Ireland,,,,,,,,,Reference year 2010 Thousands ,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,
23,,-,4.4,4.4,-,0.4,0.4,-,4.8,4.8,-,4.9,4.9,
,231,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,
,232,-,*,*,-,*,*,-,*,*,-,*,*,
,233,-,*,*,-,*,*,-,*,*,-,*,*,
,234,-,*,*,-,*,*,-,*,*,-,*,*,
,235,-,*,*,-,*,*,-,*,*,-,*,*,
,236,-,2.6,2.6,-,0.2,0.2,-,2.8,2.8,-,2.9,2.9,
,237,-,1.0,1.0,-,0.2,0.2,-,1.2,1.2,-,1.2,1.2,
,239,-,*,*,-,*,*,-,*,*,-,*,*,
24,,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,
,241,-,*,*,-,*,*,-,*,*,-,*,*,
,242,-,*,*,-,*,*,-,*,*,-,*,*,
,243,-,-,-,-,-,-,-,-,-,-,-,-,
,244,-,*,*,-,*,*,-,*,*,-,*,*,
,245,-,*,*,-,*,*,-,*,*,-,*,*,
25,,-,5.1,5.1,-,0.4,0.4,-,5.5,5.5,-,5.9,5.9,
,251,-,1.4,1.4,-,0.1,0.1,-,1.5,1.5,-,1.6,1.6,
,252,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,
,253,-,-,-,-,-,-,-,-,-,-,-,-,
,254,-,*,*,-,*,*,-,*,*,-,*,*,
,255,-,-,-,-,-,-,-,-,-,-,-,-,
,256,-,2.3,2.3,-,0.2,0.2,-,2.6,2.6,-,2.8,2.8,
,257,-,*,*,-,*,*,-,*,*,-,*,*,
,259,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.8,0.8,
26,,-,3.3,3.3,-,0.1,0.1,-,3.4,3.4,-,3.4,3.4,
,261,-,*,*,-,*,*,-,*,*,-,*,*,
,262,-,*,*,-,*,*,-,*,*,-,*,*,
,263,-,*,*,-,*,*,-,*,*,-,*,*,
,264,-,*,*,-,*,*,-,*,*,-,*,*,
,265,-,1.3,1.3,-,-,-,-,1.3,1.3,-,1.3,1.3,
,266,-,*,*,-,*,*,-,*,*,-,*,*,
,267,-,*,*,-,*,*,-,*,*,-,*,*,
,268,-,-,-,-,-,-,-,-,-,-,-,-,
